"","station","Variable","date","mean_daily"
"52","grbgbwq","chla_n","2012-11-26",5.73
"53","grbgbwq","chla_n","2012-12-04",3.55666666666667
"54","grbgbwq","chla_n","2013-04-22",7.35333333333333
"55","grbgbwq","chla_n","2013-05-22",5.07
"56","grbgbwq","chla_n","2013-06-19",19.35
"57","grbgbwq","chla_n","2013-07-09",4.50666666666667
"58","grbgbwq","chla_n","2013-08-14",8.86
"59","grbgbwq","chla_n","2013-09-10",2.43
"60","grbgbwq","chla_n","2013-10-08",2.43
"61","grbgbwq","chla_n","2013-11-14",2.89
"62","grbgbwq","chla_n","2013-12-10",2.54666666666667
"63","grbgbwq","chla_n","2014-04-23",NA
"64","grbgbwq","chla_n","2014-05-12",NA
"65","grbgbwq","chla_n","2014-06-03",NA
"66","grbgbwq","chla_n","2014-07-07",NA
"67","grbgbwq","chla_n","2014-08-20",NA
"68","grbgbwq","chla_n","2014-09-25",NA
"69","grbgbwq","chla_n","2014-10-20",NA
"70","grbgbwq","chla_n","2014-11-13",NA
"71","grbgbwq","chla_n","2014-12-01",NA
"72","grbgbwq","chla_n","2015-04-27",NA
"73","grbgbwq","chla_n","2015-05-13",NA
"74","grbgbwq","chla_n","2015-06-08",NA
"75","grbgbwq","chla_n","2015-07-07",NA
"76","grbgbwq","chla_n","2015-08-03",NA
"77","grbgbwq","chla_n","2015-09-01",NA
"78","grbgbwq","chla_n","2015-10-15",NA
"79","grbgbwq","chla_n","2015-11-17",NA
"80","grbgbwq","chla_n","2015-12-01",NA
"81","grbgbwq","chla_n","2016-03-30",NA
"82","grbgbwq","chla_n","2016-04-12",NA
"83","grbgbwq","chla_n","2016-05-09",NA
"84","grbgbwq","chla_n","2016-06-22",NA
"85","grbgbwq","chla_n","2016-07-13",NA
"86","grbgbwq","chla_n","2016-08-08",NA
"87","grbgbwq","chla_n","2016-09-06",NA
"88","grbgbwq","chla_n","2016-10-04",2.3
"89","grbgbwq","chla_n","2016-11-01",0.81
"90","grbgbwq","chla_n","2016-12-06",2.91333333333333
"91","grbgbwq","chla_n","2017-04-17",NA
"92","grbgbwq","chla_n","2017-05-18",6.02
"93","grbgbwq","chla_n","2017-06-12",NA
"94","grbgbwq","chla_n","2017-07-11",NA
"95","grbgbwq","chla_n","2017-08-08",NA
"96","grbgbwq","chla_n","2017-09-11",11.74
"97","grbgbwq","chla_n","2017-10-23",3.16
"98","grbgbwq","chla_n","2017-11-08",2.00666666666667
"99","grbgbwq","chla_n","2017-12-07",NA
"100","grbgbwq","chla_n","2018-04-10",7.23
"101","grbgbwq","chla_n","2018-05-21",NA
"102","grbgbwq","chla_n","2018-06-19",NA
"103","grbgbwq","chla_n","2018-07-09",NA
"104","grbgbwq","chla_n","2018-08-14",6.96
"105","grbgbwq","chla_n","2018-09-25",NA
"106","grbgbwq","chla_n","2018-10-15",57.58
"107","grbgbwq","chla_n","2018-11-12",4
"108","grbgbwq","chla_n","2018-12-03",NA
"109","grbgbwq","chla_n","2019-04-23",5.54666666666667
"110","grbgbwq","chla_n","2019-05-21",18.1
"111","grbgbwq","chla_n","2019-06-18",17
"112","grbgbwq","chla_n","2019-07-09",5.74
"113","grbgbwq","chla_n","2019-08-06",6.15
"114","grbgbwq","chla_n","2019-09-17",12.5833333333333
"115","grbgbwq","chla_n","2019-10-14",3.69
"116","grbgbwq","chla_n","2019-11-19",2.49
"117","grbgbwq","chla_n","2019-12-04",1.52666666666667
"118","grbgbwq","chla_n","2020-05-11",9.3
"119","grbgbwq","chla_n","2020-06-09",3.2
"120","grbgbwq","chla_n","2020-07-07",3.4
"121","grbgbwq","chla_n","2020-08-24",4.23333333333333
"122","grbgbwq","chla_n","2020-09-21",2.5
"123","grbgbwq","chla_n","2020-10-19",2.5
"124","grbgbwq","chla_n","2020-11-02",1.8
"125","grbgbwq","chla_n","2020-12-07",5.1
"126","grbgbwq","nh4f","2007-04-25",0.1083
"127","grbgbwq","nh4f","2007-05-14",0.01495
"128","grbgbwq","nh4f","2007-06-26",0.0085
"129","grbgbwq","nh4f","2007-07-25",0.01435
"130","grbgbwq","nh4f","2007-08-29",0.20525
"131","grbgbwq","nh4f","2007-09-17",0.09585
"132","grbgbwq","nh4f","2007-10-23",0.1366
"133","grbgbwq","nh4f","2007-11-27",0.0482
"134","grbgbwq","nh4f","2008-04-23",0.0245
"135","grbgbwq","nh4f","2008-05-08",0.0825
"136","grbgbwq","nh4f","2008-06-11",NA
"137","grbgbwq","nh4f","2008-07-07",0.0255
"138","grbgbwq","nh4f","2008-08-28",0.056
"139","grbgbwq","nh4f","2008-09-24",0.145
"140","grbgbwq","nh4f","2008-10-20",0.048
"141","grbgbwq","nh4f","2008-11-25",NA
"142","grbgbwq","nh4f","2009-04-29",0.0785
"143","grbgbwq","nh4f","2009-05-26",0.023
"144","grbgbwq","nh4f","2009-06-29",0.0776666666666667
"145","grbgbwq","nh4f","2009-07-29",0.023
"146","grbgbwq","nh4f","2009-08-26",0.046
"147","grbgbwq","nh4f","2009-09-24",0.026
"148","grbgbwq","nh4f","2009-10-22",NA
"149","grbgbwq","nh4f","2009-11-19",0.063
"150","grbgbwq","nh4f","2009-12-07",0.0496666666666667
"151","grbgbwq","nh4f","2010-04-22",0.0343333333333333
"152","grbgbwq","nh4f","2010-05-27",0.02
"153","grbgbwq","nh4f","2010-06-21",NA
"154","grbgbwq","nh4f","2010-07-27",NA
"155","grbgbwq","nh4f","2010-08-30",NA
"156","grbgbwq","nh4f","2010-09-29",0.062
"157","grbgbwq","nh4f","2010-10-27",0.0363333333333333
"158","grbgbwq","nh4f","2010-11-16",0.037
"159","grbgbwq","nh4f","2010-12-09",0.044
"160","grbgbwq","nh4f","2011-04-26",NA
"161","grbgbwq","nh4f","2011-05-23",0.073
"162","grbgbwq","nh4f","2011-06-07",0.014
"163","grbgbwq","nh4f","2011-07-18",0.025
"164","grbgbwq","nh4f","2011-08-22",NA
"165","grbgbwq","nh4f","2011-09-26",0.007
"166","grbgbwq","nh4f","2011-10-24",0.074
"167","grbgbwq","nh4f","2011-11-07",0.027
"168","grbgbwq","nh4f","2011-12-05",0.06
"169","grbgbwq","nh4f","2012-03-26",NA
"170","grbgbwq","nh4f","2012-04-17",0.0593333333333333
"171","grbgbwq","nh4f","2012-05-30",0.022
"172","grbgbwq","nh4f","2012-06-25",NA
"173","grbgbwq","nh4f","2012-07-23",0.014
"174","grbgbwq","nh4f","2012-08-08",NA
"175","grbgbwq","nh4f","2012-09-24",0.011
"176","grbgbwq","nh4f","2012-10-24",0.02
"177","grbgbwq","nh4f","2012-11-26",0.009
"178","grbgbwq","nh4f","2012-12-04",0.013
"179","grbgbwq","nh4f","2013-04-22",0.00966666666666667
"180","grbgbwq","nh4f","2013-05-22",NA
"181","grbgbwq","nh4f","2013-06-19",0.038
"182","grbgbwq","nh4f","2013-07-09",0.07
"183","grbgbwq","nh4f","2013-08-14",NA
"184","grbgbwq","nh4f","2013-09-10",0.016
"185","grbgbwq","nh4f","2013-10-08",0.021
"186","grbgbwq","nh4f","2013-11-14",0.03
"187","grbgbwq","nh4f","2013-12-10",0.0616666666666667
"188","grbgbwq","nh4f","2014-04-23",NA
"189","grbgbwq","nh4f","2014-05-12",NA
"190","grbgbwq","nh4f","2014-06-03",0.038
"191","grbgbwq","nh4f","2014-07-07",0.0133333333333333
"192","grbgbwq","nh4f","2014-08-20",0.012
"193","grbgbwq","nh4f","2014-09-25",0.007
"194","grbgbwq","nh4f","2014-10-20",0.008
"195","grbgbwq","nh4f","2014-11-13",0.038
"196","grbgbwq","nh4f","2014-12-01",0.049
"197","grbgbwq","nh4f","2015-04-27",0.0153333333333333
"198","grbgbwq","nh4f","2015-05-13",0.014
"199","grbgbwq","nh4f","2015-06-08",0.023
"200","grbgbwq","nh4f","2015-07-07",0.0115
"201","grbgbwq","nh4f","2015-08-03",0.007
"202","grbgbwq","nh4f","2015-09-01",0.014
"203","grbgbwq","nh4f","2015-10-15",0.022
"204","grbgbwq","nh4f","2015-11-17",0.038
"205","grbgbwq","nh4f","2015-12-01",0.0183333333333333
"206","grbgbwq","nh4f","2016-03-30",0.0165
"207","grbgbwq","nh4f","2016-04-12",0.017
"208","grbgbwq","nh4f","2016-05-09",0.0393333333333333
"209","grbgbwq","nh4f","2016-06-22",NA
"210","grbgbwq","nh4f","2016-07-13",NA
"211","grbgbwq","nh4f","2016-08-08",0.029
"212","grbgbwq","nh4f","2016-09-06",0.038
"213","grbgbwq","nh4f","2016-10-04",0.012
"214","grbgbwq","nh4f","2016-11-01",0.072
"215","grbgbwq","nh4f","2016-12-06",0.0653333333333333
"216","grbgbwq","nh4f","2017-04-17",NA
"217","grbgbwq","nh4f","2017-05-18",0.067
"218","grbgbwq","nh4f","2017-06-12",0.008
"219","grbgbwq","nh4f","2017-07-11",NA
"220","grbgbwq","nh4f","2017-08-08",NA
"221","grbgbwq","nh4f","2017-09-11",0.029
"222","grbgbwq","nh4f","2017-10-23",0.034
"223","grbgbwq","nh4f","2017-11-08",0.105666666666667
"224","grbgbwq","nh4f","2017-12-07",0.026
"225","grbgbwq","nh4f","2018-04-10",0.014
"226","grbgbwq","nh4f","2018-05-21",0.011
"227","grbgbwq","nh4f","2018-06-19",NA
"228","grbgbwq","nh4f","2018-07-09",0.032
"229","grbgbwq","nh4f","2018-08-14",0.11
"230","grbgbwq","nh4f","2018-09-25",NA
"231","grbgbwq","nh4f","2018-10-15",0.0213333333333333
"232","grbgbwq","nh4f","2018-11-12",0.07
"233","grbgbwq","nh4f","2018-12-03",NA
"234","grbgbwq","nh4f","2019-04-23",0.0906666666666667
"235","grbgbwq","nh4f","2019-05-21",0.015
"236","grbgbwq","nh4f","2019-06-18",NA
"237","grbgbwq","nh4f","2019-07-09",NA
"238","grbgbwq","nh4f","2019-08-06",NA
"239","grbgbwq","nh4f","2019-09-17",NA
"240","grbgbwq","nh4f","2019-10-14",NA
"241","grbgbwq","nh4f","2019-11-19",NA
"242","grbgbwq","nh4f","2019-12-04",NA
"243","grbgbwq","nh4f","2020-05-11",NA
"244","grbgbwq","nh4f","2020-06-09",0.02
"245","grbgbwq","nh4f","2020-07-07",NA
"246","grbgbwq","nh4f","2020-08-24",NA
"247","grbgbwq","nh4f","2020-09-21",0.014
"248","grbgbwq","nh4f","2020-10-19",0.033
"249","grbgbwq","nh4f","2020-11-02",0.148
"250","grbgbwq","nh4f","2020-12-07",0.028
"251","grbgbwq","no23f","2007-04-25",0.1164
"252","grbgbwq","no23f","2007-05-14",0.11315
"253","grbgbwq","no23f","2007-06-26",NA
"254","grbgbwq","no23f","2007-07-25",0.0152
"255","grbgbwq","no23f","2007-08-29",0.0097
"256","grbgbwq","no23f","2007-09-17",0.0265
"257","grbgbwq","no23f","2007-10-23",0.0432
"258","grbgbwq","no23f","2007-11-27",0.1575
"259","grbgbwq","no23f","2008-04-23",0.058
"260","grbgbwq","no23f","2008-05-08",0.08
"261","grbgbwq","no23f","2008-06-11",NA
"262","grbgbwq","no23f","2008-07-07",0.0305
"263","grbgbwq","no23f","2008-08-28",0.051
"264","grbgbwq","no23f","2008-09-24",0.1015
"265","grbgbwq","no23f","2008-10-20",0.116
"266","grbgbwq","no23f","2008-11-25",NA
"267","grbgbwq","no23f","2009-04-29",0.0615
"268","grbgbwq","no23f","2009-05-26",0.0865
"269","grbgbwq","no23f","2009-06-29",0.075
"270","grbgbwq","no23f","2009-07-29",0.065
"271","grbgbwq","no23f","2009-08-26",0.022
"272","grbgbwq","no23f","2009-09-24",0.011
"273","grbgbwq","no23f","2009-10-22",0.054
"274","grbgbwq","no23f","2009-11-19",0.051
"275","grbgbwq","no23f","2009-12-07",0.133333333333333
"276","grbgbwq","no23f","2010-04-22",0.111333333333333
"277","grbgbwq","no23f","2010-05-27",0.0406666666666667
"278","grbgbwq","no23f","2010-06-21",0.011
"279","grbgbwq","no23f","2010-07-27",0.007
"280","grbgbwq","no23f","2010-08-30",0.022
"281","grbgbwq","no23f","2010-09-29",0.029
"282","grbgbwq","no23f","2010-10-27",0.1
"283","grbgbwq","no23f","2010-11-16",0.089
"284","grbgbwq","no23f","2010-12-09",0.144
"285","grbgbwq","no23f","2011-04-26",NA
"286","grbgbwq","no23f","2011-05-23",0.079
"287","grbgbwq","no23f","2011-06-07",0.089
"288","grbgbwq","no23f","2011-07-18",0.028
"289","grbgbwq","no23f","2011-08-22",NA
"290","grbgbwq","no23f","2011-09-26",0.051
"291","grbgbwq","no23f","2011-10-24",0.132
"292","grbgbwq","no23f","2011-11-07",0.067
"293","grbgbwq","no23f","2011-12-05",0.136
"294","grbgbwq","no23f","2012-03-26",0.006
"295","grbgbwq","no23f","2012-04-17",NA
"296","grbgbwq","no23f","2012-05-30",0.025
"297","grbgbwq","no23f","2012-06-25",NA
"298","grbgbwq","no23f","2012-07-23",NA
"299","grbgbwq","no23f","2012-08-08",NA
"300","grbgbwq","no23f","2012-09-24",NA
"301","grbgbwq","no23f","2012-10-24",0.063
"302","grbgbwq","no23f","2012-11-26",0.069
"303","grbgbwq","no23f","2012-12-04",0.0986666666666667
"304","grbgbwq","no23f","2013-04-22",NA
"305","grbgbwq","no23f","2013-05-22",NA
"306","grbgbwq","no23f","2013-06-19",0.101
"307","grbgbwq","no23f","2013-07-09",0.0403333333333333
"308","grbgbwq","no23f","2013-08-14",NA
"309","grbgbwq","no23f","2013-09-10",0.0116666666666667
"310","grbgbwq","no23f","2013-10-08",0.246
"311","grbgbwq","no23f","2013-11-14",0.117
"312","grbgbwq","no23f","2013-12-10",0.189333333333333
"313","grbgbwq","no23f","2014-04-23",0.014
"314","grbgbwq","no23f","2014-05-12",NA
"315","grbgbwq","no23f","2014-06-03",0.079
"316","grbgbwq","no23f","2014-07-07",0.0196666666666667
"317","grbgbwq","no23f","2014-08-20",0.029
"318","grbgbwq","no23f","2014-09-25",0.007
"319","grbgbwq","no23f","2014-10-20",0.013
"320","grbgbwq","no23f","2014-11-13",0.095
"321","grbgbwq","no23f","2014-12-01",0.125
"322","grbgbwq","no23f","2015-04-27",0.0643333333333333
"323","grbgbwq","no23f","2015-05-13",0.055
"324","grbgbwq","no23f","2015-06-08",0.067
"325","grbgbwq","no23f","2015-07-07",0.017
"326","grbgbwq","no23f","2015-08-03",0.0123333333333333
"327","grbgbwq","no23f","2015-09-01",0.022
"328","grbgbwq","no23f","2015-10-15",0.037
"329","grbgbwq","no23f","2015-11-17",0.083
"330","grbgbwq","no23f","2015-12-01",0.104333333333333
"331","grbgbwq","no23f","2016-03-30",0.0673333333333333
"332","grbgbwq","no23f","2016-04-12",0.066
"333","grbgbwq","no23f","2016-05-09",0.0613333333333333
"334","grbgbwq","no23f","2016-06-22",0.119
"335","grbgbwq","no23f","2016-07-13",NA
"336","grbgbwq","no23f","2016-08-08",0.00766666666666667
"337","grbgbwq","no23f","2016-09-06",0.016
"338","grbgbwq","no23f","2016-10-04",0.025
"339","grbgbwq","no23f","2016-11-01",NA
"340","grbgbwq","no23f","2016-12-06",0.205666666666667
"341","grbgbwq","no23f","2017-04-17",0.009
"342","grbgbwq","no23f","2017-05-18",0.088
"343","grbgbwq","no23f","2017-06-12",0.07
"344","grbgbwq","no23f","2017-07-11",0.023
"345","grbgbwq","no23f","2017-08-08",0.1
"346","grbgbwq","no23f","2017-09-11",0.156
"347","grbgbwq","no23f","2017-10-23",0.145
"348","grbgbwq","no23f","2017-11-08",0.109333333333333
"349","grbgbwq","no23f","2017-12-07",0.282
"350","grbgbwq","no23f","2018-04-10",0.0216666666666667
"351","grbgbwq","no23f","2018-05-21",0.061
"352","grbgbwq","no23f","2018-06-19",0.013
"353","grbgbwq","no23f","2018-07-09",0.019
"354","grbgbwq","no23f","2018-08-14",0.0856666666666667
"355","grbgbwq","no23f","2018-09-25",0.178
"356","grbgbwq","no23f","2018-10-15",0.0566666666666667
"357","grbgbwq","no23f","2018-11-12",0.089
"358","grbgbwq","no23f","2018-12-03",NA
"359","grbgbwq","no23f","2019-04-23",0.0723333333333333
"360","grbgbwq","no23f","2019-05-21",0.048
"361","grbgbwq","no23f","2019-06-18",NA
"362","grbgbwq","no23f","2019-07-09",NA
"363","grbgbwq","no23f","2019-08-06",0.037
"364","grbgbwq","no23f","2019-09-17",NA
"365","grbgbwq","no23f","2019-10-14",0.058
"366","grbgbwq","no23f","2019-11-19",NA
"367","grbgbwq","no23f","2019-12-04",NA
"368","grbgbwq","no23f","2020-05-11",NA
"369","grbgbwq","no23f","2020-06-09",NA
"370","grbgbwq","no23f","2020-07-07",NA
"371","grbgbwq","no23f","2020-08-24",NA
"372","grbgbwq","no23f","2020-09-21",NA
"373","grbgbwq","no23f","2020-10-19",0.04
"374","grbgbwq","no23f","2020-11-02",0.04
"375","grbgbwq","no23f","2020-12-07",0.148
"376","grbgbwq","no2f","2007-04-25",0.00445
"377","grbgbwq","no2f","2007-05-14",0.004
"378","grbgbwq","no2f","2007-06-26",NA
"379","grbgbwq","no2f","2007-07-25",0.0046
"380","grbgbwq","no2f","2007-08-29",NA
"381","grbgbwq","no2f","2007-09-17",0.0051
"382","grbgbwq","no2f","2007-10-23",0.0039
"383","grbgbwq","no2f","2007-11-27",0.0073
"384","grbgbwq","no2f","2008-04-23",0.004
"385","grbgbwq","no2f","2008-05-08",0.0045
"386","grbgbwq","no2f","2008-06-11",NA
"387","grbgbwq","no2f","2008-07-07",0.005
"388","grbgbwq","no2f","2008-08-28",0.0055
"389","grbgbwq","no2f","2008-09-24",0.007
"390","grbgbwq","no2f","2008-10-20",0.006
"391","grbgbwq","no2f","2008-11-25",NA
"392","grbgbwq","no2f","2009-04-29",NA
"393","grbgbwq","no2f","2009-05-26",NA
"394","grbgbwq","no2f","2009-06-29",NA
"395","grbgbwq","no2f","2009-07-29",NA
"396","grbgbwq","no2f","2009-08-26",NA
"397","grbgbwq","no2f","2009-09-24",NA
"398","grbgbwq","no2f","2009-10-22",NA
"399","grbgbwq","no2f","2009-11-19",NA
"400","grbgbwq","no2f","2009-12-07",NA
"401","grbgbwq","no2f","2010-04-22",NA
"402","grbgbwq","no2f","2010-05-27",NA
"403","grbgbwq","no2f","2010-06-21",NA
"404","grbgbwq","no2f","2010-07-27",NA
"405","grbgbwq","no2f","2010-08-30",NA
"406","grbgbwq","no2f","2010-09-29",NA
"407","grbgbwq","no2f","2010-10-27",NA
"408","grbgbwq","no2f","2010-11-16",NA
"409","grbgbwq","no2f","2010-12-09",NA
"410","grbgbwq","no2f","2011-04-26",NA
"411","grbgbwq","no2f","2011-05-23",NA
"412","grbgbwq","no2f","2011-06-07",NA
"413","grbgbwq","no2f","2011-07-18",NA
"414","grbgbwq","no2f","2011-08-22",NA
"415","grbgbwq","no2f","2011-09-26",NA
"416","grbgbwq","no2f","2011-10-24",NA
"417","grbgbwq","no2f","2011-11-07",NA
"418","grbgbwq","no2f","2011-12-05",NA
"419","grbgbwq","no2f","2012-03-26",NA
"420","grbgbwq","no2f","2012-04-17",NA
"421","grbgbwq","no2f","2012-05-30",NA
"422","grbgbwq","no2f","2012-06-25",NA
"423","grbgbwq","no2f","2012-07-23",NA
"424","grbgbwq","no2f","2012-08-08",NA
"425","grbgbwq","no2f","2012-09-24",NA
"426","grbgbwq","no2f","2012-10-24",NA
"427","grbgbwq","no2f","2012-11-26",NA
"428","grbgbwq","no2f","2012-12-04",NA
"429","grbgbwq","no2f","2013-04-22",NA
"430","grbgbwq","no2f","2013-05-22",NA
"431","grbgbwq","no2f","2013-06-19",NA
"432","grbgbwq","no2f","2013-07-09",NA
"433","grbgbwq","no2f","2013-08-14",NA
"434","grbgbwq","no2f","2013-09-10",NA
"435","grbgbwq","no2f","2013-10-08",NA
"436","grbgbwq","no2f","2013-11-14",NA
"437","grbgbwq","no2f","2013-12-10",NA
"438","grbgbwq","no2f","2014-04-23",NA
"439","grbgbwq","no2f","2014-05-12",NA
"440","grbgbwq","no2f","2014-06-03",NA
"441","grbgbwq","no2f","2014-07-07",NA
"442","grbgbwq","no2f","2014-08-20",NA
"443","grbgbwq","no2f","2014-09-25",NA
"444","grbgbwq","no2f","2014-10-20",NA
"445","grbgbwq","no2f","2014-11-13",NA
"446","grbgbwq","no2f","2014-12-01",NA
"447","grbgbwq","no2f","2015-04-27",NA
"448","grbgbwq","no2f","2015-05-13",NA
"449","grbgbwq","no2f","2015-06-08",NA
"450","grbgbwq","no2f","2015-07-07",NA
"451","grbgbwq","no2f","2015-08-03",NA
"452","grbgbwq","no2f","2015-09-01",NA
"453","grbgbwq","no2f","2015-10-15",NA
"454","grbgbwq","no2f","2015-11-17",NA
"455","grbgbwq","no2f","2015-12-01",NA
"456","grbgbwq","no2f","2016-03-30",NA
"457","grbgbwq","no2f","2016-04-12",NA
"458","grbgbwq","no2f","2016-05-09",NA
"459","grbgbwq","no2f","2016-06-22",NA
"460","grbgbwq","no2f","2016-07-13",NA
"461","grbgbwq","no2f","2016-08-08",NA
"462","grbgbwq","no2f","2016-09-06",NA
"463","grbgbwq","no2f","2016-10-04",NA
"464","grbgbwq","no2f","2016-11-01",NA
"465","grbgbwq","no2f","2016-12-06",NA
"466","grbgbwq","no2f","2017-04-17",NA
"467","grbgbwq","no2f","2017-05-18",NA
"468","grbgbwq","no2f","2017-06-12",NA
"469","grbgbwq","no2f","2017-07-11",NA
"470","grbgbwq","no2f","2017-08-08",NA
"471","grbgbwq","no2f","2017-09-11",NA
"472","grbgbwq","no2f","2017-10-23",NA
"473","grbgbwq","no2f","2017-11-08",NA
"474","grbgbwq","no2f","2017-12-07",NA
"475","grbgbwq","no2f","2018-04-10",NA
"476","grbgbwq","no2f","2018-05-21",NA
"477","grbgbwq","no2f","2018-06-19",NA
"478","grbgbwq","no2f","2018-07-09",NA
"479","grbgbwq","no2f","2018-08-14",NA
"480","grbgbwq","no2f","2018-09-25",NA
"481","grbgbwq","no2f","2018-10-15",NA
"482","grbgbwq","no2f","2018-11-12",NA
"483","grbgbwq","no2f","2018-12-03",NA
"484","grbgbwq","no2f","2019-04-23",NA
"485","grbgbwq","no2f","2019-05-21",NA
"486","grbgbwq","no2f","2019-06-18",NA
"487","grbgbwq","no2f","2019-07-09",NA
"488","grbgbwq","no2f","2019-08-06",NA
"489","grbgbwq","no2f","2019-09-17",NA
"490","grbgbwq","no2f","2019-10-14",NA
"491","grbgbwq","no2f","2019-11-19",NA
"492","grbgbwq","no2f","2019-12-04",NA
"493","grbgbwq","no2f","2020-05-11",NA
"494","grbgbwq","no2f","2020-06-09",NA
"495","grbgbwq","no2f","2020-07-07",NA
"496","grbgbwq","no2f","2020-08-24",NA
"497","grbgbwq","no2f","2020-09-21",NA
"498","grbgbwq","no2f","2020-10-19",NA
"499","grbgbwq","no2f","2020-11-02",NA
"500","grbgbwq","no2f","2020-12-07",NA
"501","grbgbwq","no3f","2007-04-25",0.11195
"502","grbgbwq","no3f","2007-05-14",0.1077
"503","grbgbwq","no3f","2007-06-26",NA
"504","grbgbwq","no3f","2007-07-25",0.0106
"505","grbgbwq","no3f","2007-08-29",NA
"506","grbgbwq","no3f","2007-09-17",0.0219
"507","grbgbwq","no3f","2007-10-23",0.0291
"508","grbgbwq","no3f","2007-11-27",0.1502
"509","grbgbwq","no3f","2008-04-23",0.059
"510","grbgbwq","no3f","2008-05-08",0.076
"511","grbgbwq","no3f","2008-06-11",NA
"512","grbgbwq","no3f","2008-07-07",0.0255
"513","grbgbwq","no3f","2008-08-28",0.0455
"514","grbgbwq","no3f","2008-09-24",0.094
"515","grbgbwq","no3f","2008-10-20",0.118
"516","grbgbwq","no3f","2008-11-25",NA
"517","grbgbwq","no3f","2009-04-29",NA
"518","grbgbwq","no3f","2009-05-26",NA
"519","grbgbwq","no3f","2009-06-29",NA
"520","grbgbwq","no3f","2009-07-29",NA
"521","grbgbwq","no3f","2009-08-26",NA
"522","grbgbwq","no3f","2009-09-24",NA
"523","grbgbwq","no3f","2009-10-22",NA
"524","grbgbwq","no3f","2009-11-19",NA
"525","grbgbwq","no3f","2009-12-07",NA
"526","grbgbwq","no3f","2010-04-22",NA
"527","grbgbwq","no3f","2010-05-27",NA
"528","grbgbwq","no3f","2010-06-21",NA
"529","grbgbwq","no3f","2010-07-27",NA
"530","grbgbwq","no3f","2010-08-30",NA
"531","grbgbwq","no3f","2010-09-29",NA
"532","grbgbwq","no3f","2010-10-27",NA
"533","grbgbwq","no3f","2010-11-16",NA
"534","grbgbwq","no3f","2010-12-09",NA
"535","grbgbwq","no3f","2011-04-26",NA
"536","grbgbwq","no3f","2011-05-23",NA
"537","grbgbwq","no3f","2011-06-07",NA
"538","grbgbwq","no3f","2011-07-18",NA
"539","grbgbwq","no3f","2011-08-22",NA
"540","grbgbwq","no3f","2011-09-26",NA
"541","grbgbwq","no3f","2011-10-24",NA
"542","grbgbwq","no3f","2011-11-07",NA
"543","grbgbwq","no3f","2011-12-05",NA
"544","grbgbwq","no3f","2012-03-26",NA
"545","grbgbwq","no3f","2012-04-17",NA
"546","grbgbwq","no3f","2012-05-30",NA
"547","grbgbwq","no3f","2012-06-25",NA
"548","grbgbwq","no3f","2012-07-23",NA
