"","Variable","date","Value","station"
"54","NH4F","07/07/2008",0.0255,"grbgbnut  "
"55","NH4F","08/28/2008",0.056,"grbgbnut  "
"56","NH4F","09/24/2008",0.145,"grbgbnut  "
"57","NH4F","10/20/2008",0.362,"grbgbnut  "
"58","NO23F","04/23/2008",0.058,"grbgbnut  "
"59","NO23F","05/08/2008",0.08,"grbgbnut  "
"60","NO23F","06/11/2008",0.005,"grbgbnut  "
"61","NO23F","07/07/2008",0.0305,"grbgbnut  "
"62","NO23F","08/28/2008",0.051,"grbgbnut  "
"63","NO23F","09/24/2008",0.1015,"grbgbnut  "
"64","NO23F","10/20/2008",0.124,"grbgbnut  "
"65","NO2F","04/23/2008",0.0035,"grbgbnut  "
"66","NO2F","05/08/2008",0.0045,"grbgbnut  "
"67","NO2F","06/11/2008",0.003,"grbgbnut  "
"68","NO2F","07/07/2008",0.005,"grbgbnut  "
"69","NO2F","08/28/2008",0.0055,"grbgbnut  "
"70","NO2F","09/24/2008",0.007,"grbgbnut  "
"71","NO2F","10/20/2008",0.006,"grbgbnut  "
"72","NO3F","05/08/2008",0.076,"grbgbnut  "
"73","NO3F","07/07/2008",0.0255,"grbgbnut  "
"74","NO3F","08/28/2008",0.0455,"grbgbnut  "
"75","NO3F","09/24/2008",0.094,"grbgbnut  "
"76","NO3F","10/20/2008",0.118,"grbgbnut  "
"77","PO4F","04/23/2008",0.0079,"grbgbnut  "
"78","PO4F","05/08/2008",0.01135,"grbgbnut  "
"79","PO4F","06/11/2008",0.005,"grbgbnut  "
"80","PO4F","07/07/2008",0.03565,"grbgbnut  "
"81","PO4F","08/28/2008",0.0258,"grbgbnut  "
"82","PO4F","09/24/2008",0.026,"grbgbnut  "
"83","PO4F","10/20/2008",0.01585,"grbgbnut  "
"84","CHLA_N","04/29/2009",3.725,"grbgbnut  "
"85","CHLA_N","05/26/2009",6.135,"grbgbnut  "
"86","CHLA_N","06/29/2009",1.01,"grbgbnut  "
"87","CHLA_N","07/29/2009",3.55,"grbgbnut  "
"88","CHLA_N","08/26/2009",1.6,"grbgbnut  "
"89","CHLA_N","09/24/2009",1.61,"grbgbnut  "
"90","CHLA_N","10/22/2009",1.92,"grbgbnut  "
"91","CHLA_N","11/19/2009",1.32,"grbgbnut  "
"92","CHLA_N","12/07/2009",2.11333333333333,"grbgbnut  "
"93","NH4F","04/29/2009",0.0785,"grbgbnut  "
"94","NH4F","05/26/2009",0.023,"grbgbnut  "
"95","NH4F","06/29/2009",0.0776666666666667,"grbgbnut  "
"96","NH4F","07/29/2009",0.023,"grbgbnut  "
"97","NH4F","08/26/2009",0.046,"grbgbnut  "
"98","NH4F","09/24/2009",0.026,"grbgbnut  "
"99","NH4F","10/22/2009",0.005,"grbgbnut  "
"100","NH4F","11/19/2009",0.063,"grbgbnut  "
"101","NH4F","12/07/2009",0.0496666666666667,"grbgbnut  "
"102","NO23F","04/29/2009",0.0615,"grbgbnut  "
"103","NO23F","05/26/2009",0.0865,"grbgbnut  "
"104","NO23F","06/29/2009",0.075,"grbgbnut  "
"105","NO23F","07/29/2009",0.065,"grbgbnut  "
"106","NO23F","08/26/2009",0.022,"grbgbnut  "
"107","NO23F","09/24/2009",0.011,"grbgbnut  "
"108","NO23F","10/22/2009",0.054,"grbgbnut  "
"109","NO23F","11/19/2009",0.051,"grbgbnut  "
"110","NO23F","12/07/2009",0.133333333333333,"grbgbnut  "
"111","PO4F","04/29/2009",0.016,"grbgbnut  "
"112","PO4F","05/26/2009",0.0165,"grbgbnut  "
"113","PO4F","06/29/2009",0.0203333333333333,"grbgbnut  "
"114","PO4F","07/29/2009",0.051,"grbgbnut  "
"115","PO4F","08/26/2009",0.04,"grbgbnut  "
"116","PO4F","09/24/2009",0.048,"grbgbnut  "
"117","PO4F","10/22/2009",0.025,"grbgbnut  "
"118","PO4F","11/19/2009",0.022,"grbgbnut  "
"119","PO4F","12/07/2009",0.0216666666666667,"grbgbnut  "
"120","CHLA_N","04/22/2010",3.29666666666667,"grbgbnut  "
"121","CHLA_N","05/27/2010",9.97666666666667,"grbgbnut  "
"122","CHLA_N","06/21/2010",14.53,"grbgbnut  "
"123","CHLA_N","07/27/2010",8.31,"grbgbnut  "
"124","CHLA_N","08/30/2010",3.55,"grbgbnut  "
"125","CHLA_N","09/29/2010",2.12,"grbgbnut  "
"126","CHLA_N","10/27/2010",2.77333333333333,"grbgbnut  "
"127","CHLA_N","11/16/2010",3.93,"grbgbnut  "
"128","CHLA_N","12/09/2010",2.24,"grbgbnut  "
"129","NH4F","04/22/2010",0.0343333333333333,"grbgbnut  "
"130","NH4F","05/27/2010",0.01,"grbgbnut  "
"131","NH4F","06/21/2010",0.005,"grbgbnut  "
"132","NH4F","07/27/2010",0.005,"grbgbnut  "
"133","NH4F","08/30/2010",0.005,"grbgbnut  "
"134","NH4F","09/29/2010",0.062,"grbgbnut  "
"135","NH4F","10/27/2010",0.0363333333333333,"grbgbnut  "
"136","NH4F","11/16/2010",0.0633333333333333,"grbgbnut  "
"137","NH4F","12/09/2010",0.044,"grbgbnut  "
"138","NO23F","04/22/2010",0.111333333333333,"grbgbnut  "
"139","NO23F","05/27/2010",0.0406666666666667,"grbgbnut  "
"140","NO23F","06/21/2010",0.011,"grbgbnut  "
"141","NO23F","07/27/2010",0.007,"grbgbnut  "
"142","NO23F","08/30/2010",0.022,"grbgbnut  "
"143","NO23F","09/29/2010",0.029,"grbgbnut  "
"144","NO23F","10/27/2010",0.1,"grbgbnut  "
"145","NO23F","11/16/2010",0.388666666666667,"grbgbnut  "
"146","NO23F","12/09/2010",0.144,"grbgbnut  "
"147","PO4F","04/22/2010",0.0143333333333333,"grbgbnut  "
"148","PO4F","05/27/2010",0.00866666666666667,"grbgbnut  "
"149","PO4F","06/21/2010",0.013,"grbgbnut  "
"150","PO4F","07/27/2010",0.035,"grbgbnut  "
"151","PO4F","08/30/2010",0.028,"grbgbnut  "
"152","PO4F","09/29/2010",0.036,"grbgbnut  "
"153","PO4F","10/27/2010",0.0333333333333333,"grbgbnut  "
"154","PO4F","11/16/2010",0.019,"grbgbnut  "
"155","PO4F","12/09/2010",0.026,"grbgbnut  "
"156","CHLA_N","04/26/2011",7.79666666666667,"grbgbnut  "
"157","CHLA_N","05/23/2011",1.83333333333333,"grbgbnut  "
"158","CHLA_N","06/07/2011",2.66,"grbgbnut  "
"159","CHLA_N","07/18/2011",4.21666666666667,"grbgbnut  "
"160","CHLA_N","08/22/2011",4.69,"grbgbnut  "
"161","CHLA_N","11/07/2011",2.01,"grbgbnut  "
"162","CHLA_N","12/05/2011",0.846666666666667,"grbgbnut  "
"163","NH4F","04/26/2011",0.00866666666666667,"grbgbnut  "
"164","NH4F","05/23/2011",0.0756666666666667,"grbgbnut  "
"165","NH4F","06/07/2011",0.014,"grbgbnut  "
"166","NH4F","07/18/2011",0.0156666666666667,"grbgbnut  "
"167","NH4F","08/22/2011",0.005,"grbgbnut  "
"168","NH4F","09/26/2011",0.007,"grbgbnut  "
"169","NH4F","10/24/2011",0.0766666666666667,"grbgbnut  "
"170","NH4F","11/07/2011",0.027,"grbgbnut  "
"171","NH4F","12/05/2011",0.0603333333333333,"grbgbnut  "
"172","NO23F","04/26/2011",0.00566666666666667,"grbgbnut  "
"173","NO23F","05/23/2011",0.0603333333333333,"grbgbnut  "
"174","NO23F","06/07/2011",0.089,"grbgbnut  "
"175","NO23F","07/18/2011",0.0296666666666667,"grbgbnut  "
"176","NO23F","08/22/2011",0.005,"grbgbnut  "
"177","NO23F","09/26/2011",0.051,"grbgbnut  "
"178","NO23F","10/24/2011",0.129666666666667,"grbgbnut  "
"179","NO23F","11/07/2011",0.067,"grbgbnut  "
"180","NO23F","12/05/2011",0.131,"grbgbnut  "
"181","PO4F","04/26/2011",0.005,"grbgbnut  "
"182","PO4F","05/23/2011",0.008,"grbgbnut  "
"183","PO4F","06/07/2011",0.011,"grbgbnut  "
"184","PO4F","07/18/2011",0.0236666666666667,"grbgbnut  "
"185","PO4F","08/22/2011",0.039,"grbgbnut  "
"186","PO4F","09/26/2011",0.027,"grbgbnut  "
"187","PO4F","10/24/2011",0.0303333333333333,"grbgbnut  "
"188","PO4F","11/07/2011",0.021,"grbgbnut  "
"189","PO4F","12/05/2011",0.0203333333333333,"grbgbnut  "
"190","CHLA_N","03/26/2012",10.61,"grbgbnut  "
"191","CHLA_N","04/17/2012",1.83,"grbgbnut  "
"192","CHLA_N","05/30/2012",4.07,"grbgbnut  "
"193","CHLA_N","06/25/2012",8.38,"grbgbnut  "
"194","CHLA_N","07/23/2012",2.88,"grbgbnut  "
"195","CHLA_N","08/08/2012",1.9,"grbgbnut  "
"196","CHLA_N","09/24/2012",2.44,"grbgbnut  "
"197","CHLA_N","10/24/2012",1.55333333333333,"grbgbnut  "
"198","CHLA_N","11/26/2012",5.73,"grbgbnut  "
"199","CHLA_N","12/04/2012",3.55666666666667,"grbgbnut  "
"200","NH4F","03/26/2012",0.005,"grbgbnut  "
"201","NH4F","04/17/2012",0.0593333333333333,"grbgbnut  "
"202","NH4F","05/30/2012",0.022,"grbgbnut  "
"203","NH4F","06/25/2012",0.005,"grbgbnut  "
"204","NH4F","07/23/2012",0.011,"grbgbnut  "
"205","NH4F","08/08/2012",0.005,"grbgbnut  "
"206","NH4F","09/24/2012",0.011,"grbgbnut  "
"207","NH4F","10/24/2012",0.02,"grbgbnut  "
"208","NH4F","11/26/2012",0.009,"grbgbnut  "
"209","NH4F","12/04/2012",0.0103333333333333,"grbgbnut  "
"210","NO23F","03/26/2012",0.006,"grbgbnut  "
"211","NO23F","04/17/2012",0.005,"grbgbnut  "
"212","NO23F","05/30/2012",0.025,"grbgbnut  "
"213","NO23F","06/25/2012",0.005,"grbgbnut  "
"214","NO23F","07/23/2012",0.005,"grbgbnut  "
"215","NO23F","08/08/2012",0.005,"grbgbnut  "
"216","NO23F","09/24/2012",0.005,"grbgbnut  "
"217","NO23F","10/24/2012",0.063,"grbgbnut  "
"218","NO23F","11/26/2012",0.069,"grbgbnut  "
"219","NO23F","12/04/2012",0.0986666666666667,"grbgbnut  "
"220","PO4F","03/26/2012",0.005,"grbgbnut  "
"221","PO4F","04/17/2012",0.00566666666666667,"grbgbnut  "
"222","PO4F","05/30/2012",0.016,"grbgbnut  "
"223","PO4F","06/25/2012",0.009,"grbgbnut  "
"224","PO4F","07/23/2012",0.0336666666666667,"grbgbnut  "
"225","PO4F","08/08/2012",0.044,"grbgbnut  "
"226","PO4F","09/24/2012",0.032,"grbgbnut  "
"227","PO4F","10/24/2012",0.028,"grbgbnut  "
"228","PO4F","11/26/2012",0.014,"grbgbnut  "
"229","PO4F","12/04/2012",0.0196666666666667,"grbgbnut  "
"230","CHLA_N","04/22/2013",7.35333333333333,"grbgbnut  "
"231","CHLA_N","05/22/2013",5.07,"grbgbnut  "
"232","CHLA_N","06/19/2013",19.35,"grbgbnut  "
"233","CHLA_N","07/09/2013",4.50666666666667,"grbgbnut  "
"234","CHLA_N","08/14/2013",8.86,"grbgbnut  "
"235","CHLA_N","09/10/2013",2.43,"grbgbnut  "
"236","CHLA_N","10/08/2013",2.43,"grbgbnut  "
"237","CHLA_N","11/14/2013",2.89,"grbgbnut  "
"238","CHLA_N","12/10/2013",2.54666666666667,"grbgbnut  "
"239","NH4F","04/22/2013",0.00966666666666667,"grbgbnut  "
"240","NH4F","05/22/2013",0.005,"grbgbnut  "
"241","NH4F","06/19/2013",0.038,"grbgbnut  "
"242","NH4F","07/09/2013",0.07,"grbgbnut  "
"243","NH4F","08/14/2013",0.005,"grbgbnut  "
"244","NH4F","09/10/2013",0.016,"grbgbnut  "
"245","NH4F","10/08/2013",0.021,"grbgbnut  "
"246","NH4F","11/14/2013",0.03,"grbgbnut  "
"247","NH4F","12/10/2013",0.0616666666666667,"grbgbnut  "
"248","NO23F","04/22/2013",0.005,"grbgbnut  "
"249","NO23F","05/22/2013",0.005,"grbgbnut  "
"250","NO23F","06/19/2013",0.101,"grbgbnut  "
"251","NO23F","07/09/2013",0.0403333333333333,"grbgbnut  "
"252","NO23F","08/14/2013",0.005,"grbgbnut  "
"253","NO23F","09/10/2013",0.0116666666666667,"grbgbnut  "
"254","NO23F","10/08/2013",0.246,"grbgbnut  "
"255","NO23F","11/14/2013",0.117,"grbgbnut  "
"256","NO23F","12/10/2013",0.189333333333333,"grbgbnut  "
"257","PO4F","04/22/2013",0.005,"grbgbnut  "
"258","PO4F","05/22/2013",0.005,"grbgbnut  "
"259","PO4F","06/19/2013",0.009,"grbgbnut  "
"260","PO4F","07/09/2013",0.0253333333333333,"grbgbnut  "
"261","PO4F","08/14/2013",0.032,"grbgbnut  "
"262","PO4F","09/10/2013",0.0376666666666667,"grbgbnut  "
"263","PO4F","10/08/2013",0.032,"grbgbnut  "
"264","PO4F","11/14/2013",0.025,"grbgbnut  "
"265","PO4F","12/10/2013",0.0316666666666667,"grbgbnut  "
"266","CHLA_N","04/23/2014",14.95,"grbgbnut  "
"267","CHLA_N","05/12/2014",7.69,"grbgbnut  "
"268","CHLA_N","06/03/2014",7.53,"grbgbnut  "
"269","CHLA_N","07/07/2014",22.1,"grbgbnut  "
"270","CHLA_N","08/20/2014",8.3,"grbgbnut  "
"271","CHLA_N","09/25/2014",15.56,"grbgbnut  "
"272","CHLA_N","10/20/2014",8.38,"grbgbnut  "
"273","CHLA_N","11/13/2014",3.23,"grbgbnut  "
"274","CHLA_N","12/01/2014",2.26,"grbgbnut  "
"275","NH4F","04/23/2014",0.005,"grbgbnut  "
"276","NH4F","05/12/2014",0.005,"grbgbnut  "
"277","NH4F","06/03/2014",0.038,"grbgbnut  "
"278","NH4F","07/07/2014",0.0133333333333333,"grbgbnut  "
"279","NH4F","08/20/2014",0.012,"grbgbnut  "
"280","NH4F","09/25/2014",0.007,"grbgbnut  "
"281","NH4F","10/20/2014",0.008,"grbgbnut  "
"282","NH4F","12/01/2014",0.049,"grbgbnut  "
"283","NO23F","04/23/2014",0.014,"grbgbnut  "
"284","NO23F","05/12/2014",0.005,"grbgbnut  "
"285","NO23F","06/03/2014",0.079,"grbgbnut  "
"286","NO23F","07/07/2014",0.0196666666666667,"grbgbnut  "
"287","NO23F","08/20/2014",0.029,"grbgbnut  "
"288","NO23F","09/25/2014",0.007,"grbgbnut  "
"289","NO23F","10/20/2014",0.013,"grbgbnut  "
"290","NO23F","12/01/2014",0.125,"grbgbnut  "
"291","PO4F","04/23/2014",0.005,"grbgbnut  "
"292","PO4F","05/12/2014",0.005,"grbgbnut  "
"293","PO4F","06/03/2014",0.012,"grbgbnut  "
"294","PO4F","07/07/2014",0.00966666666666667,"grbgbnut  "
"295","PO4F","08/20/2014",0.031,"grbgbnut  "
"296","PO4F","09/25/2014",0.037,"grbgbnut  "
"297","PO4F","10/20/2014",0.036,"grbgbnut  "
"298","PO4F","12/01/2014",0.022,"grbgbnut  "
"299","CHLA_N","04/27/2015",5.83,"grbgbnut  "
"300","CHLA_N","05/13/2015",9.41,"grbgbnut  "
"301","CHLA_N","06/08/2015",7.25,"grbgbnut  "
"302","CHLA_N","07/07/2015",3.38666666666667,"grbgbnut  "
"303","CHLA_N","08/03/2015",5.82,"grbgbnut  "
"304","CHLA_N","09/01/2015",7.22,"grbgbnut  "
"305","CHLA_N","10/15/2015",2.63,"grbgbnut  "
"306","CHLA_N","11/17/2015",1.86,"grbgbnut  "
"307","CHLA_N","12/01/2015",2.09,"grbgbnut  "
"308","NH4F","04/27/2015",0.0153333333333333,"grbgbnut  "
"309","NH4F","05/13/2015",0.014,"grbgbnut  "
"310","NH4F","06/08/2015",0.023,"grbgbnut  "
"311","NH4F","07/07/2015",0.00933333333333333,"grbgbnut  "
"312","NH4F","08/03/2015",0.00633333333333333,"grbgbnut  "
"313","NH4F","09/01/2015",0.014,"grbgbnut  "
"314","NH4F","10/15/2015",0.022,"grbgbnut  "
"315","NH4F","11/17/2015",0.038,"grbgbnut  "
"316","NH4F","12/01/2015",0.0183333333333333,"grbgbnut  "
"317","NO23F","04/27/2015",0.0643333333333333,"grbgbnut  "
"318","NO23F","05/13/2015",0.055,"grbgbnut  "
"319","NO23F","06/08/2015",0.067,"grbgbnut  "
"320","NO23F","07/07/2015",0.017,"grbgbnut  "
"321","NO23F","08/03/2015",0.0123333333333333,"grbgbnut  "
"322","NO23F","09/01/2015",0.022,"grbgbnut  "
"323","NO23F","10/15/2015",0.037,"grbgbnut  "
"324","NO23F","11/17/2015",0.083,"grbgbnut  "
"325","NO23F","12/01/2015",0.104333333333333,"grbgbnut  "
"326","PO4F","04/27/2015",0.00433333333333333,"grbgbnut  "
"327","PO4F","05/13/2015",0.014,"grbgbnut  "
"328","PO4F","06/08/2015",0.007,"grbgbnut  "
"329","PO4F","07/07/2015",0.0113333333333333,"grbgbnut  "
"330","PO4F","08/03/2015",0.025,"grbgbnut  "
"331","PO4F","09/01/2015",0.034,"grbgbnut  "
"332","PO4F","10/15/2015",0.022,"grbgbnut  "
"333","PO4F","11/17/2015",0.019,"grbgbnut  "
"334","PO4F","12/01/2015",0.0196666666666667,"grbgbnut  "
"335","CHLA_N","03/30/2016",14.48,"grbgbnut  "
"336","CHLA_N","04/12/2016",14.17,"grbgbnut  "
"337","CHLA_N","05/09/2016",3.44333333333333,"grbgbnut  "
"338","CHLA_N","06/22/2016",6.32,"grbgbnut  "
"339","CHLA_N","07/13/2016",4.53,"grbgbnut  "
"340","CHLA_N","08/08/2016",4.30666666666667,"grbgbnut  "
"341","CHLA_N","09/06/2016",5.47,"grbgbnut  "
"342","CHLA_N","10/04/2016",2.3,"grbgbnut  "
"343","CHLA_N","11/01/2016",0.81,"grbgbnut  "
"344","CHLA_N","12/06/2016",2.91333333333333,"grbgbnut  "
"345","NH4F","03/30/2016",0.0126666666666667,"grbgbnut  "
"346","NH4F","04/12/2016",0.017,"grbgbnut  "
"347","NH4F","05/09/2016",0.0393333333333333,"grbgbnut  "
"348","NH4F","06/22/2016",0.005,"grbgbnut  "
"349","NH4F","07/13/2016",0.005,"grbgbnut  "
"350","NH4F","08/08/2016",0.029,"grbgbnut  "
"351","NH4F","09/06/2016",0.038,"grbgbnut  "
"352","NH4F","10/04/2016",0.012,"grbgbnut  "
"353","NH4F","11/01/2016",0.072,"grbgbnut  "
"354","NH4F","12/06/2016",0.0653333333333333,"grbgbnut  "
"355","NO23F","03/30/2016",0.0673333333333333,"grbgbnut  "
"356","NO23F","04/12/2016",0.066,"grbgbnut  "
"357","NO23F","05/09/2016",0.0613333333333333,"grbgbnut  "
"358","NO23F","06/22/2016",0.119,"grbgbnut  "
"359","NO23F","07/13/2016",0.005,"grbgbnut  "
"360","NO23F","08/08/2016",0.00766666666666667,"grbgbnut  "
"361","NO23F","09/06/2016",0.016,"grbgbnut  "
"362","NO23F","10/04/2016",0.025,"grbgbnut  "
"363","NO23F","11/01/2016",0.099,"grbgbnut  "
"364","NO23F","12/06/2016",0.205666666666667,"grbgbnut  "
"365","PO4F","03/30/2016",0.002,"grbgbnut  "
"366","PO4F","04/12/2016",0.002,"grbgbnut  "
"367","PO4F","05/09/2016",0.0103333333333333,"grbgbnut  "
"368","PO4F","06/22/2016",0.012,"grbgbnut  "
"369","PO4F","07/13/2016",0.018,"grbgbnut  "
"370","PO4F","08/08/2016",0.0393333333333333,"grbgbnut  "
"371","PO4F","09/06/2016",0.052,"grbgbnut  "
"372","PO4F","10/04/2016",0.035,"grbgbnut  "
"373","PO4F","11/01/2016",0.027,"grbgbnut  "
"374","PO4F","12/06/2016",0.0253333333333333,"grbgbnut  "
"375","CHLA_N","04/17/2017",28.44,"grbgbnut  "
"376","CHLA_N","05/18/2017",6.02,"grbgbnut  "
"377","CHLA_N","06/12/2017",5.79,"grbgbnut  "
"378","CHLA_N","07/11/2017",2.47,"grbgbnut  "
"379","CHLA_N","08/08/2017",2.91,"grbgbnut  "
"380","CHLA_N","09/11/2017",11.74,"grbgbnut  "
"381","CHLA_N","10/23/2017",3.16,"grbgbnut  "
"382","CHLA_N","11/08/2017",2.00666666666667,"grbgbnut  "
"383","CHLA_N","12/07/2017",2.56,"grbgbnut  "
"384","NH4F","04/17/2017",0.0069,"grbgbnut  "
"385","NH4F","05/18/2017",0.067,"grbgbnut  "
"386","NH4F","06/12/2017",0.008,"grbgbnut  "
"387","NH4F","07/11/2017",0.0069,"grbgbnut  "
"388","NH4F","08/08/2017",0.0069,"grbgbnut  "
"389","NH4F","09/11/2017",0.029,"grbgbnut  "
"390","NH4F","10/23/2017",0.034,"grbgbnut  "
"391","NH4F","11/08/2017",0.105666666666667,"grbgbnut  "
"392","NH4F","12/07/2017",0.026,"grbgbnut  "
"393","NO23F","04/17/2017",0.009,"grbgbnut  "
"394","NO23F","05/18/2017",0.088,"grbgbnut  "
"395","NO23F","06/12/2017",0.07,"grbgbnut  "
"396","NO23F","07/11/2017",0.023,"grbgbnut  "
"397","NO23F","08/08/2017",0.1,"grbgbnut  "
"398","NO23F","09/11/2017",0.156,"grbgbnut  "
"399","NO23F","10/23/2017",0.145,"grbgbnut  "
"400","NO23F","11/08/2017",0.109333333333333,"grbgbnut  "
"401","NO23F","12/07/2017",0.269666666666667,"grbgbnut  "
"402","PO4F","04/17/2017",0.0035,"grbgbnut  "
"403","PO4F","05/18/2017",0.01,"grbgbnut  "
"404","PO4F","06/12/2017",0.0035,"grbgbnut  "
"405","PO4F","07/11/2017",0.012,"grbgbnut  "
"406","PO4F","08/08/2017",0.038,"grbgbnut  "
"407","PO4F","09/11/2017",0.028,"grbgbnut  "
"408","PO4F","10/23/2017",0.039,"grbgbnut  "
"409","PO4F","11/08/2017",0.0283333333333333,"grbgbnut  "
"410","PO4F","12/07/2017",0.027,"grbgbnut  "
"411","CHLA_N","04/10/2018",7.66,"grbgbnut  "
"412","CHLA_N","05/21/2018",2.36,"grbgbnut  "
"413","CHLA_N","06/19/2018",8.15,"grbgbnut  "
"414","CHLA_N","07/09/2018",5,"grbgbnut  "
"415","CHLA_N","08/14/2018",6.81,"grbgbnut  "
"416","CHLA_N","09/25/2018",1.22,"grbgbnut  "
"417","CHLA_N","10/15/2018",60.7533333333333,"grbgbnut  "
"418","CHLA_N","11/12/2018",4,"grbgbnut  "
"419","CHLA_N","12/03/2018",1.99,"grbgbnut  "
"420","NH4F","04/10/2018",0.00926666666666667,"grbgbnut  "
"421","NH4F","05/21/2018",0.011,"grbgbnut  "
"422","NH4F","06/19/2018",0.0069,"grbgbnut  "
"423","NH4F","07/09/2018",0.032,"grbgbnut  "
"424","NH4F","08/14/2018",0.11,"grbgbnut  "
"425","NH4F","09/25/2018",0.0069,"grbgbnut  "
"426","NH4F","10/15/2018",0.0213333333333333,"grbgbnut  "
"427","NH4F","11/12/2018",0.07,"grbgbnut  "
"428","NH4F","12/03/2018",0.046,"grbgbnut  "
"429","NO23F","04/10/2018",0.0216666666666667,"grbgbnut  "
"430","NO23F","05/21/2018",0.061,"grbgbnut  "
"431","NO23F","06/19/2018",0.013,"grbgbnut  "
"432","NO23F","07/09/2018",0.019,"grbgbnut  "
"433","NO23F","08/14/2018",0.0856666666666667,"grbgbnut  "
"434","NO23F","09/25/2018",0.178,"grbgbnut  "
"435","NO23F","10/15/2018",0.0566666666666667,"grbgbnut  "
"436","NO23F","11/12/2018",0.089,"grbgbnut  "
"437","NO23F","12/03/2018",0.155,"grbgbnut  "
"438","PO4F","04/10/2018",0.00433333333333333,"grbgbnut  "
"439","PO4F","05/21/2018",0.006,"grbgbnut  "
"440","PO4F","06/19/2018",0.024,"grbgbnut  "
"441","PO4F","07/09/2018",0.022,"grbgbnut  "
"442","PO4F","08/14/2018",0.0406666666666667,"grbgbnut  "
"443","PO4F","09/25/2018",0.027,"grbgbnut  "
"444","PO4F","10/15/2018",0.022,"grbgbnut  "
"445","PO4F","11/12/2018",0.014,"grbgbnut  "
"446","PO4F","12/03/2018",0.02,"grbgbnut  "
"447","CHLA_N","04/23/2019",5.54666666666667,"grbgbnut  "
"448","CHLA_N","05/21/2019",18.1,"grbgbnut  "
"449","CHLA_N","06/18/2019",17,"grbgbnut  "
"450","CHLA_N","07/09/2019",5.74,"grbgbnut  "
"451","CHLA_N","08/06/2019",6.15,"grbgbnut  "
"452","CHLA_N","09/17/2019",12.5833333333333,"grbgbnut  "
"453","CHLA_N","10/14/2019",3.69,"grbgbnut  "
"454","CHLA_N","11/19/2019",2.49,"grbgbnut  "
"455","CHLA_N","12/04/2019",1.52666666666667,"grbgbnut  "
"456","NH4F","04/23/2019",0.0906666666666667,"grbgbnut  "
