"","date","Variable","mean_daily","station"
"53",2010-06-21,"PO4F",0.013,"grbgbnut  "
"54",2010-07-27,"NO23F",0.007,"grbgbnut  "
"55",2010-09-29,"PO4F",0.036,"grbgbnut  "
"56",2010-10-27,"CHLA_N",2.65,"grbgbnut  "
"57",2010-10-27,"NH4F",0.028,"grbgbnut  "
"58",2010-10-27,"NO23F",0.1,"grbgbnut  "
"59",2010-10-27,"PO4F",0.032,"grbgbnut  "
"60",2010-11-16,"CHLA_N",3.9,"grbgbnut  "
"61",2010-11-16,"NH4F",0.036,"grbgbnut  "
"62",2010-11-16,"NO23F",0.068,"grbgbnut  "
"63",2010-11-16,"PO4F",0.026,"grbgbnut  "
"64",2010-12-09,"NO23F",0.144,"grbgbnut  "
"65",2011-04-26,"CHLA_N",7.79666666666667,"grbgbnut  "
"66",2011-05-23,"CHLA_N",1.83333333333333,"grbgbnut  "
"67",2011-05-23,"NH4F",0.0756666666666667,"grbgbnut  "
"68",2011-05-23,"NO23F",0.0603333333333333,"grbgbnut  "
"69",2011-05-23,"PO4F",0.008,"grbgbnut  "
"70",2011-06-07,"CHLA_N",2.66,"grbgbnut  "
"71",2011-06-07,"PO4F",0.011,"grbgbnut  "
"72",2011-07-18,"CHLA_N",4.21666666666667,"grbgbnut  "
"73",2011-07-18,"NO23F",0.0296666666666667,"grbgbnut  "
"74",2011-07-18,"PO4F",0.0236666666666667,"grbgbnut  "
"75",2011-09-26,"NH4F",0.007,"grbgbnut  "
"76",2011-10-24,"NH4F",0.0766666666666667,"grbgbnut  "
"77",2011-10-24,"NO23F",0.129666666666667,"grbgbnut  "
"78",2011-10-24,"PO4F",0.0303333333333333,"grbgbnut  "
"79",2011-11-07,"NH4F",0.027,"grbgbnut  "
"80",2011-12-05,"CHLA_N",0.846666666666667,"grbgbnut  "
"81",2011-12-05,"NH4F",0.0603333333333333,"grbgbnut  "
"82",2011-12-05,"NO23F",0.131,"grbgbnut  "
"83",2011-12-05,"PO4F",0.0203333333333333,"grbgbnut  "
"84",2012-03-26,"CHLA_N",10.61,"grbgbnut  "
"85",2012-03-26,"PO4F",0.005,"grbgbnut  "
"86",2012-04-17,"CHLA_N",2.4,"grbgbnut  "
"87",2012-04-17,"NH4F",0.07,"grbgbnut  "
"88",2012-05-30,"NO23F",0.025,"grbgbnut  "
"89",2012-07-23,"CHLA_N",2.86,"grbgbnut  "
"90",2012-07-23,"NH4F",0.015,"grbgbnut  "
"91",2012-07-23,"PO4F",0.037,"grbgbnut  "
"92",2012-08-08,"CHLA_N",1.9,"grbgbnut  "
"93",2012-08-08,"PO4F",0.044,"grbgbnut  "
"94",2012-10-24,"CHLA_N",1.62,"grbgbnut  "
"95",2012-10-24,"NH4F",0.019,"grbgbnut  "
"96",2012-10-24,"NO23F",0.064,"grbgbnut  "
"97",2012-10-24,"PO4F",0.027,"grbgbnut  "
"98",2012-11-26,"NH4F",0.009,"grbgbnut  "
"99",2012-12-04,"CHLA_N",4.06,"grbgbnut  "
"100",2012-12-04,"NH4F",0.019,"grbgbnut  "
"101",2012-12-04,"NO23F",0.122,"grbgbnut  "
"102",2012-12-04,"PO4F",0.016,"grbgbnut  "
"103",2013-04-22,"CHLA_N",7.21,"grbgbnut  "
"104",2013-04-22,"NH4F",0.012,"grbgbnut  "
"105",2013-05-22,"CHLA_N",5.07,"grbgbnut  "
"106",2013-06-19,"NO23F",0.101,"grbgbnut  "
"107",2013-07-09,"CHLA_N",4,"grbgbnut  "
"108",2013-07-09,"NH4F",0.072,"grbgbnut  "
"109",2013-07-09,"NO23F",0.041,"grbgbnut  "
"110",2013-07-09,"PO4F",0.025,"grbgbnut  "
"111",2013-09-10,"CHLA_N",2.49,"grbgbnut  "
"112",2013-09-10,"NH4F",0.016,"grbgbnut  "
"113",2013-09-10,"NO23F",0.014,"grbgbnut  "
"114",2013-09-10,"PO4F",0.039,"grbgbnut  "
"115",2013-10-08,"CHLA_N",2.43,"grbgbnut  "
"116",2013-10-08,"PO4F",0.032,"grbgbnut  "
"117",2013-11-14,"NO23F",0.117,"grbgbnut  "
"118",2013-12-10,"CHLA_N",3.01,"grbgbnut  "
"119",2013-12-10,"NH4F",0.06,"grbgbnut  "
"120",2013-12-10,"NO23F",0.188,"grbgbnut  "
"121",2013-12-10,"PO4F",0.025,"grbgbnut  "
"122",2014-06-03,"NH4F",0.038,"grbgbnut  "
"123",2014-07-07,"NH4F",0.013,"grbgbnut  "
"124",2014-07-07,"NO23F",0.013,"grbgbnut  "
"125",2014-07-07,"PO4F",0.014,"grbgbnut  "
"126",2014-08-20,"PO4F",0.031,"grbgbnut  "
"127",2014-09-25,"NO23F",0.007,"grbgbnut  "
"128",2014-10-20,"NH4F",0.008,"grbgbnut  "
"129",2014-11-13,"NH4F",0.041,"grbgbnut  "
"130",2014-11-13,"PO4F",0.036,"grbgbnut  "
"131",2014-12-01,"PO4F",0.022,"grbgbnut  "
"132",2015-04-27,"NH4F",0.016,"grbgbnut  "
"133",2015-04-27,"NO23F",0.068,"grbgbnut  "
"134",2015-04-27,"PO4F",0.002,"grbgbnut  "
"135",2015-05-13,"PO4F",0.014,"grbgbnut  "
"136",2015-06-08,"NO23F",0.067,"grbgbnut  "
"137",2015-07-07,"NH4F",0.01,"grbgbnut  "
"138",2015-07-07,"NO23F",0.025,"grbgbnut  "
"139",2015-07-07,"PO4F",0.017,"grbgbnut  "
"140",2015-08-03,"NH4F",0.008,"grbgbnut  "
"141",2015-08-03,"NO23F",0.012,"grbgbnut  "
"142",2015-08-03,"PO4F",0.026,"grbgbnut  "
"143",2015-09-01,"NH4F",0.014,"grbgbnut  "
"144",2015-10-15,"PO4F",0.022,"grbgbnut  "
"145",2015-11-17,"NO23F",0.083,"grbgbnut  "
"146",2015-12-01,"NH4F",0.021,"grbgbnut  "
"147",2015-12-01,"NO23F",0.106,"grbgbnut  "
"148",2015-12-01,"PO4F",0.019,"grbgbnut  "
"149",2016-03-30,"NH4F",0.011,"grbgbnut  "
"150",2016-03-30,"NO23F",0.068,"grbgbnut  "
"151",2016-03-30,"PO4F",0.002,"grbgbnut  "
"152",2016-04-12,"PO4F",0.002,"grbgbnut  "
"153",2016-05-09,"NH4F",0.041,"grbgbnut  "
"154",2016-05-09,"NO23F",0.058,"grbgbnut  "
"155",2016-05-09,"PO4F",0.01,"grbgbnut  "
"156",2016-06-22,"NO23F",0.119,"grbgbnut  "
"157",2016-08-08,"NH4F",0.031,"grbgbnut  "
"158",2016-08-08,"NO23F",0.007,"grbgbnut  "
"159",2016-08-08,"PO4F",0.04,"grbgbnut  "
"160",2016-09-06,"PO4F",0.052,"grbgbnut  "
"161",2016-10-04,"NO23F",0.025,"grbgbnut  "
"162",2016-11-01,"NH4F",0.072,"grbgbnut  "
"163",2016-12-06,"CHLA_N",2.99,"grbgbnut  "
"164",2016-12-06,"NH4F",0.066,"grbgbnut  "
"165",2016-12-06,"NO23F",0.205,"grbgbnut  "
"166",2016-12-06,"PO4F",0.026,"grbgbnut  "
"167",2017-05-18,"NO23F",0.088,"grbgbnut  "
"168",2017-06-12,"NH4F",0.008,"grbgbnut  "
"169",2017-07-11,"PO4F",0.012,"grbgbnut  "
"170",2017-08-08,"NO23F",0.1,"grbgbnut  "
"171",2017-09-11,"NH4F",0.029,"grbgbnut  "
"172",2017-10-23,"CHLA_N",3.16,"grbgbnut  "
"173",2017-10-23,"PO4F",0.039,"grbgbnut  "
"174",2017-11-08,"CHLA_N",1.96,"grbgbnut  "
"175",2017-11-08,"NH4F",0.107,"grbgbnut  "
"176",2017-11-08,"NO23F",0.111,"grbgbnut  "
"177",2017-11-08,"PO4F",0.029,"grbgbnut  "
"178",2017-12-07,"NH4F",0.024,"grbgbnut  "
"179",2017-12-07,"PO4F",0.025,"grbgbnut  "
"180",2018-04-10,"NO23F",0.02,"grbgbnut  "
"181",2018-05-21,"PO4F",0.006,"grbgbnut  "
"182",2018-06-19,"NO23F",0.013,"grbgbnut  "
"183",2018-07-09,"NH4F",0.032,"grbgbnut  "
"184",2018-08-14,"NH4F",0.11,"grbgbnut  "
"185",2018-08-14,"NO23F",0.086,"grbgbnut  "
"186",2018-08-14,"PO4F",0.039,"grbgbnut  "
"187",2018-09-25,"PO4F",0.027,"grbgbnut  "
"188",2018-10-15,"NH4F",0.015,"grbgbnut  "
"189",2018-10-15,"NO23F",0.057,"grbgbnut  "
"190",2018-10-15,"PO4F",0.021,"grbgbnut  "
"191",2018-11-12,"NO23F",0.089,"grbgbnut  "
"192",2019-04-23,"CHLA_N",5.53,"grbgbnut  "
"193",2019-04-23,"NH4F",0.116,"grbgbnut  "
"194",2019-04-23,"NO23F",0.067,"grbgbnut  "
"195",2019-04-23,"PO4F",0.014,"grbgbnut  "
"196",2019-05-21,"CHLA_N",18.1,"grbgbnut  "
"197",2019-05-21,"PO4F",0.013,"grbgbnut  "
"198",2019-08-06,"CHLA_N",6.15,"grbgbnut  "
"199",2019-09-17,"CHLA_N",12.23,"grbgbnut  "
"200",2019-10-14,"NO23F",0.058,"grbgbnut  "
"201",2019-12-04,"CHLA_N",1.53,"grbgbnut  "
"202",2019-12-04,"PO4F",0.019,"grbgbnut  "
"203",2020-05-11,"CHLA_N",9.3,"grbgbnut  "
"204",2020-05-11,"PO4F",0.069,"grbgbnut  "
"205",2020-08-24,"CHLA_N",4.3,"grbgbnut  "
"206",2020-09-21,"CHLA_N",2.5,"grbgbnut  "
"207",2020-09-21,"PO4F",0.039,"grbgbnut  "
"208",2020-10-19,"NO23F",0.04,"grbgbnut  "
"209",2020-11-02,"CHLA_N",1.7,"grbgbnut  "
"210",2020-11-02,"NH4F",0.17,"grbgbnut  "
"211",2020-11-02,"NO23F",0.045,"grbgbnut  "
"212",2020-11-02,"PO4F",0.027,"grbgbnut  "
"213",2020-12-07,"NH4F",0.028,"grbgbnut  "
"214",2007-04-25,"CHLA_N",2.87,"grblrnut  "
"215",2007-04-25,"NH4F",0.1195,"grblrnut  "
"216",2007-04-25,"NO23F",0.1464,"grblrnut  "
"217",2007-04-30,"CHLA_N",2.22,"grblrnut  "
"218",2007-04-30,"NH4F",0.027575,"grblrnut  "
"219",2007-04-30,"NO23F",0.1233,"grblrnut  "
"220",2007-05-01,"CHLA_N",3.815,"grblrnut  "
"221",2007-05-01,"NH4F",0.0288666666666667,"grblrnut  "
"222",2007-05-01,"NO23F",0.1117,"grblrnut  "
"223",2007-05-14,"NH4F",0.0409,"grblrnut  "
"224",2007-05-14,"NO23F",0.09125,"grblrnut  "
"225",2007-05-15,"CHLA_N",3.445,"grblrnut  "
"226",2007-05-15,"NH4F",0.03155,"grblrnut  "
"227",2007-05-15,"NO23F",0.0956,"grblrnut  "
"228",2007-05-15,"NO3F",0.141828571428571,"grblrnut  "
"229",2007-05-15,"PO4F",0.067075,"grblrnut  "
"230",2007-05-16,"CHLA_N",4.465,"grblrnut  "
"231",2007-05-16,"NO23F",0.1143,"grblrnut  "
"232",2007-05-16,"NO2F",0.0039,"grblrnut  "
"233",2007-05-16,"NO3F",0.1732,"grblrnut  "
"234",2007-05-16,"PO4F",0.0617,"grblrnut  "
"235",2007-06-20,"CHLA_N",2.34888888888889,"grblrnut  "
"236",2007-06-20,"NH4F",0.0542,"grblrnut  "
"237",2007-06-20,"NO23F",0.1646,"grblrnut  "
"238",2007-06-20,"NO2F",0.0101375,"grblrnut  "
"239",2007-06-20,"NO3F",0.1731,"grblrnut  "
"240",2007-06-20,"PO4F",0.01815,"grblrnut  "
"241",2007-06-21,"CHLA_N",4.35125,"grblrnut  "
"242",2007-06-21,"NO2F",0.0116875,"grblrnut  "
"243",2007-06-26,"CHLA_N",4.435,"grblrnut  "
"244",2007-06-26,"NO2F",0.00535,"grblrnut  "
"245",2007-07-25,"CHLA_N",2.97,"grblrnut  "
"246",2007-07-25,"NO2F",0.0035,"grblrnut  "
"247",2007-07-30,"CHLA_N",5.34,"grblrnut  "
"248",2007-07-30,"NO2F",0.020525,"grblrnut  "
"249",2007-07-31,"CHLA_N",6.8075,"grblrnut  "
"250",2007-07-31,"NO2F",0.010575,"grblrnut  "
"251",2007-08-22,"CHLA_N",64.935,"grblrnut  "
"252",2007-08-22,"NO2F",0.010325,"grblrnut  "
"253",2007-08-22,"NO3F",0.0611285714285714,"grblrnut  "
"254",2007-08-22,"PO4F",0.0372857142857143,"grblrnut  "
"255",2007-08-23,"NH4F",0.27345,"grblrnut  "
"256",2007-08-23,"NO23F",0.0774666666666667,"grblrnut  "
"257",2007-08-23,"NO3F",0.075375,"grblrnut  "
"258",2007-08-23,"PO4F",0.04146,"grblrnut  "
"259",2007-08-29,"CHLA_N",40.43,"grblrnut  "
"260",2007-08-29,"NH4F",0.1217,"grblrnut  "
"261",2007-08-29,"NO23F",0.0899,"grblrnut  "
"262",2007-09-17,"NO3F",0.0787,"grblrnut  "
"263",2007-09-17,"PO4F",0.0255,"grblrnut  "
"264",2007-09-24,"CHLA_N",32.5366666666667,"grblrnut  "
"265",2007-09-24,"NH4F",0.261775,"grblrnut  "
"266",2007-09-24,"NO23F",0.044425,"grblrnut  "
"267",2007-09-24,"NO2F",0.00885,"grblrnut  "
"268",2007-09-24,"NO3F",0.04762,"grblrnut  "
"269",2007-09-24,"PO4F",0.0448833333333333,"grblrnut  "
"270",2007-09-25,"CHLA_N",718.04,"grblrnut  "
"271",2007-09-25,"NH4F",0.3183,"grblrnut  "
"272",2007-09-25,"NO23F",0.0466,"grblrnut  "
"273",2007-09-25,"NO2F",0.0039,"grblrnut  "
"274",2007-09-25,"NO3F",0.0358,"grblrnut  "
"275",2007-09-25,"PO4F",0.03385,"grblrnut  "
"276",2007-10-09,"CHLA_N",2.76666666666667,"grblrnut  "
"277",2007-10-09,"NH4F",0.3790375,"grblrnut  "
"278",2007-10-09,"NO23F",0.0448142857142857,"grblrnut  "
"279",2007-10-09,"NO2F",0.0055,"grblrnut  "
"280",2007-10-10,"CHLA_N",10.78,"grblrnut  "
"281",2007-10-10,"NO2F",0.008,"grblrnut  "
"282",2007-10-23,"NO23F",0.0475,"grblrnut  "
"283",2007-11-13,"NH4F",0.229855555555556,"grblrnut  "
"284",2007-11-13,"NO23F",0.169066666666667,"grblrnut  "
"285",2007-11-14,"NH4F",0.224971428571429,"grblrnut  "
"286",2007-11-14,"NO23F",0.182271428571429,"grblrnut  "
"287",2007-11-27,"CHLA_N",1.865,"grblrnut  "
"288",2007-11-27,"NH4F",0.0461,"grblrnut  "
"289",2007-11-27,"NO2F",0.0039,"grblrnut  "
"290",2008-04-23,"CHLA_N",1.72,"grblrnut  "
"291",2008-04-23,"NH4F",0.013,"grblrnut  "
"292",2008-04-23,"NO23F",0.12,"grblrnut  "
"293",2008-04-28,"CHLA_N",3.538,"grblrnut  "
"294",2008-04-28,"NH4F",0.0256666666666667,"grblrnut  "
"295",2008-04-28,"NO23F",0.0786666666666667,"grblrnut  "
"296",2008-04-28,"NO2F",0.0055,"grblrnut  "
"297",2008-04-29,"CHLA_N",2.77666666666667,"grblrnut  "
"298",2008-04-29,"NH4F",0.0293333333333333,"grblrnut  "
"299",2008-04-29,"NO23F",0.112,"grblrnut  "
"300",2008-05-08,"NO23F",0.071,"grblrnut  "
"301",2008-05-14,"CHLA_N",2.315,"grblrnut  "
"302",2008-05-14,"NH4F",0.168833333333333,"grblrnut  "
"303",2008-05-14,"NO23F",0.2018,"grblrnut  "
"304",2008-05-14,"NO2F",0.01,"grblrnut  "
"305",2008-05-14,"NO3F",0.26425,"grblrnut  "
"306",2008-05-14,"PO4F",0.0803,"grblrnut  "
"307",2008-05-15,"CHLA_N",2.38,"grblrnut  "
"308",2008-05-15,"NH4F",0.042,"grblrnut  "
"309",2008-05-15,"NO23F",0.075,"grblrnut  "
"310",2008-05-15,"NO3F",0.271,"grblrnut  "
"311",2008-05-15,"PO4F",0.035075,"grblrnut  "
"312",2008-06-05,"CHLA_N",6.962,"grblrnut  "
"313",2008-06-05,"NO2F",0.023,"grblrnut  "
"314",2008-06-05,"NO3F",0.174777777777778,"grblrnut  "
"315",2008-06-05,"PO4F",0.03373,"grblrnut  "
"316",2008-06-06,"CHLA_N",8.05333333333333,"grblrnut  "
"317",2008-06-06,"NO2F",0.00983333333333333,"grblrnut  "
"318",2008-06-11,"NO3F",0.24,"grblrnut  "
"319",2008-06-11,"PO4F",0.0108,"grblrnut  "
"320",2008-07-01,"NH4F",0.3055,"grblrnut  "
"321",2008-07-01,"NO23F",0.259666666666667,"grblrnut  "
"322",2008-07-01,"NO3F",0.1748,"grblrnut  "
"323",2008-07-01,"PO4F",0.04084,"grblrnut  "
"324",2008-07-02,"NH4F",0.275,"grblrnut  "
"325",2008-07-02,"NO23F",0.222,"grblrnut  "
"326",2008-07-07,"CHLA_N",6.365,"grblrnut  "
"327",2008-07-07,"NH4F",0.053,"grblrnut  "
"328",2008-07-07,"NO2F",0.004,"grblrnut  "
"329",2008-08-13,"CHLA_N",1.33,"grblrnut  "
"330",2008-08-13,"NH4F",0.019,"grblrnut  "
"331",2008-08-13,"NO23F",0.05925,"grblrnut  "
"332",2008-08-14,"CHLA_N",1.24,"grblrnut  "
"333",2008-08-14,"NH4F",0.0225,"grblrnut  "
"334",2008-08-14,"NO23F",0.0573333333333333,"grblrnut  "
"335",2008-08-28,"CHLA_N",3.5,"grblrnut  "
"336",2008-08-28,"NH4F",0.042,"grblrnut  "
"337",2008-09-15,"CHLA_N",1.346,"grblrnut  "
"338",2008-09-15,"NH4F",0.10625,"grblrnut  "
"339",2008-09-15,"NO23F",0.099,"grblrnut  "
"340",2008-09-15,"NO2F",0.013,"grblrnut  "
"341",2008-09-16,"CHLA_N",1.07,"grblrnut  "
"342",2008-09-16,"NH4F",0.0225,"grblrnut  "
"343",2008-09-16,"NO23F",0.108666666666667,"grblrnut  "
"344",2008-09-16,"NO3F",0.144,"grblrnut  "
"345",2008-09-16,"PO4F",0.0499,"grblrnut  "
"346",2008-09-24,"CHLA_N",1.81,"grblrnut  "
"347",2008-09-24,"NH4F",0.042,"grblrnut  "
"348",2008-10-20,"CHLA_N",1.5,"grblrnut  "
"349",2008-10-20,"NH4F",0.006,"grblrnut  "
"350",2008-10-20,"NO23F",0.057,"grblrnut  "
"351",2008-10-20,"PO4F",0.0058,"grblrnut  "
"352",2008-10-28,"CHLA_N",1.51,"grblrnut  "
"353",2008-10-28,"NH4F",0.011,"grblrnut  "
"354",2008-10-28,"NO23F",0.044,"grblrnut  "
"355",2008-10-28,"PO4F",0.0103,"grblrnut  "
"356",2008-10-29,"CHLA_N",1.17,"grblrnut  "
"357",2008-10-29,"NH4F",0.0125,"grblrnut  "
"358",2008-10-29,"NO23F",0.0443333333333333,"grblrnut  "
"359",2008-11-19,"CHLA_N",0.89,"grblrnut  "
"360",2008-11-19,"NH4F",0.0205,"grblrnut  "
"361",2008-11-19,"NO23F",0.0965,"grblrnut  "
"362",2008-11-25,"CHLA_N",2.28,"grblrnut  "
"363",2008-11-25,"NH4F",0.032,"grblrnut  "
"364",2008-12-15,"CHLA_N",0.75,"grblrnut  "
"365",2008-12-15,"NH4F",0.0105,"grblrnut  "
"366",2008-12-15,"NO23F",0.082,"grblrnut  "
"367",2008-12-16,"CHLA_N",0.636666666666667,"grblrnut  "
"368",2008-12-16,"NH4F",0.0146666666666667,"grblrnut  "
"369",2008-12-16,"NO23F",0.092,"grblrnut  "
"370",2009-04-29,"NO23F",0.055,"grblrnut  "
"371",2009-04-29,"PO4F",0.039,"grblrnut  "
"372",2009-04-30,"NH4F",0.055,"grblrnut  "
"373",2009-04-30,"NO23F",0.0635,"grblrnut  "
"374",2009-04-30,"PO4F",0.026,"grblrnut  "
"375",2009-05-01,"NH4F",0.2555,"grblrnut  "
"376",2009-05-01,"NO23F",0.0575,"grblrnut  "
"377",2009-05-01,"PO4F",0.072,"grblrnut  "
"378",2009-05-20,"NH4F",0.0555,"grblrnut  "
"379",2009-05-20,"NO23F",0.12625,"grblrnut  "
"380",2009-05-20,"PO4F",0.097,"grblrnut  "
"381",2009-05-21,"NH4F",0.0815,"grblrnut  "
"382",2009-05-21,"NO23F",0.1795,"grblrnut  "
"383",2009-05-21,"PO4F",0.013,"grblrnut  "
"384",2009-05-26,"NO23F",0.135,"grblrnut  "
"385",2009-05-26,"PO4F",0.016,"grblrnut  "
"386",2009-06-17,"NH4F",0.0274,"grblrnut  "
"387",2009-06-17,"NO23F",0.06625,"grblrnut  "
"388",2009-06-18,"NH4F",0.024,"grblrnut  "
"389",2009-06-18,"NO23F",0.049,"grblrnut  "
"390",2009-06-18,"PO4F",0.005,"grblrnut  "
"391",2009-06-29,"NO23F",0.094,"grblrnut  "
"392",2009-07-21,"NH4F",0.06425,"grblrnut  "
"393",2009-07-21,"NO23F",0.134,"grblrnut  "
"394",2009-07-21,"PO4F",0.03525,"grblrnut  "
"395",2009-07-22,"NH4F",0.1065,"grblrnut  "
"396",2009-07-22,"NO23F",0.13,"grblrnut  "
"397",2009-07-22,"PO4F",0.0065,"grblrnut  "
"398",2009-07-29,"NH4F",0.014,"grblrnut  "
"399",2009-07-29,"NO23F",0.057,"grblrnut  "
"400",2009-08-23,"NH4F",0.174,"grblrnut  "
"401",2009-08-23,"NO23F",0.199,"grblrnut  "
"402",2009-08-23,"PO4F",0.0443333333333333,"grblrnut  "
"403",2009-08-24,"NH4F",0.157666666666667,"grblrnut  "
"404",2009-08-24,"NO23F",0.209,"grblrnut  "
"405",2009-08-24,"PO4F",0.034,"grblrnut  "
"406",2009-08-26,"PO4F",0.012,"grblrnut  "
"407",2009-09-06,"NH4F",0.106333333333333,"grblrnut  "
"408",2009-09-06,"NO23F",0.166,"grblrnut  "
"409",2009-09-06,"PO4F",0.0553333333333333,"grblrnut  "
"410",2009-09-07,"NH4F",0.1315,"grblrnut  "
"411",2009-09-07,"NO23F",0.084,"grblrnut  "
"412",2009-09-07,"PO4F",0.069,"grblrnut  "
"413",2009-09-24,"PO4F",0.044,"grblrnut  "
"414",2009-10-22,"NO23F",0.062,"grblrnut  "
"415",2009-10-29,"NH4F",0.0115,"grblrnut  "
"416",2009-10-29,"NO23F",0.04,"grblrnut  "
"417",2009-10-29,"PO4F",0.022,"grblrnut  "
"418",2009-11-04,"NH4F",0.105,"grblrnut  "
"419",2009-11-04,"NO23F",0.0803333333333333,"grblrnut  "
"420",2009-11-04,"PO4F",0.025,"grblrnut  "
"421",2009-11-05,"NH4F",0.0795,"grblrnut  "
"422",2009-11-05,"NO23F",0.086,"grblrnut  "
"423",2009-11-05,"PO4F",0.013,"grblrnut  "
"424",2009-11-19,"NO23F",0.099,"grblrnut  "
"425",2009-11-23,"NH4F",0.0095,"grblrnut  "
"426",2009-11-23,"NO23F",0.068,"grblrnut  "
"427",2009-11-23,"PO4F",0.022,"grblrnut  "
"428",2009-11-24,"NH4F",0.0613333333333333,"grblrnut  "
"429",2009-11-24,"NO23F",0.0593333333333333,"grblrnut  "
"430",2009-12-07,"NO23F",0.163,"grblrnut  "
"431",2009-12-14,"NH4F",0.0176666666666667,"grblrnut  "
"432",2009-12-14,"NO23F",0.112,"grblrnut  "
"433",2009-12-14,"PO4F",0.011,"grblrnut  "
"434",2009-12-15,"NH4F",0.0183333333333333,"grblrnut  "
"435",2009-12-15,"NO23F",0.1105,"grblrnut  "
"436",2009-12-15,"PO4F",0.005,"grblrnut  "
"437",2010-04-25,"NH4F",0.08225,"grblrnut  "
"438",2010-04-25,"NO23F",0.0935,"grblrnut  "
"439",2010-04-25,"PO4F",0.012,"grblrnut  "
"440",2010-04-26,"NH4F",0.198,"grblrnut  "
"441",2010-04-26,"NO23F",0.077,"grblrnut  "
"442",2010-04-26,"PO4F",0.01,"grblrnut  "
"443",2010-05-27,"CHLA_N",4.455,"grblrnut  "
"444",2010-05-27,"NH4F",0.127333333333333,"grblrnut  "
"445",2010-05-27,"NO23F",0.1315,"grblrnut  "
"446",2010-05-27,"PO4F",0.01875,"grblrnut  "
"447",2010-05-28,"CHLA_N",5.405,"grblrnut  "
"448",2010-05-28,"NH4F",0.166,"grblrnut  "
"449",2010-05-28,"NO23F",0.138,"grblrnut  "
"450",2010-05-28,"PO4F",0.047,"grblrnut  "
"451",2010-06-21,"NH4F",0.056,"grblrnut  "
"452",2010-06-24,"NH4F",0.038,"grblrnut  "
"453",2010-06-24,"NO23F",0.2225,"grblrnut  "
"454",2010-06-24,"PO4F",0.0693333333333333,"grblrnut  "
"455",2010-06-25,"NH4F",0.064,"grblrnut  "
"456",2010-06-25,"NO23F",0.1745,"grblrnut  "
